24. June 2018 | 18:33:00 | - QuickTurn = 1
24. June 2018 | 18:33:00 | 1 IP-bans have been loaded.
24. June 2018 | 18:33:00 | 0 temporary bans have been loaded.
24. June 2018 | 18:33:00 | 1 whitelist entries have been loaded.
24. June 2018 | 18:33:00 | 4 blacklist entries have been loaded.
24. June 2018 | 18:33:00 | 41 bad words have been loaded.
24. June 2018 | 18:33:00 | 4 forbidden weapons have been loaded.
24. June 2018 | 18:33:00 | JunkBuster has been configurated.
24. June 2018 | 18:33:00 | JunkBuster has successfully been loaded.
24. June 2018 | 18:43:11 | Current JunkBuster configuration:
24. June 2018 | 18:43:12 | - WeaponHack = 1
24. June 2018 | 18:43:12 | - MoneyHack = 1
24. June 2018 | 18:43:12 | - Jetpack = 1
24. June 2018 | 18:43:12 | - HealthHack = 1
24. June 2018 | 18:43:12 | - ArmourHack = 1
24. June 2018 | 18:43:12 | - DriveBy = 2
24. June 2018 | 18:43:12 | - Spam = 0
24. June 2018 | 18:43:12 | - CommandSpam = 0
24. June 2018 | 18:43:12 | - BadWords = 0
24. June 2018 | 18:43:12 | - CarJackHack = 1
24. June 2018 | 18:43:12 | - TeleportHack = 1
24. June 2018 | 18:43:12 | - MaxPing = 1000
24. June 2018 | 18:43:12 | - SpectateHack = 0
24. June 2018 | 18:43:12 | - Blacklist = 1
24. June 2018 | 18:43:12 | - IpBans = 1
24. June 2018 | 18:43:12 | - TempBans = 1
24. June 2018 | 18:43:12 | - SpawnKill = 3
24. June 2018 | 18:43:12 | - CapsLock = 1
24. June 2018 | 18:43:12 | - 3DSpeed = 0
24. June 2018 | 18:43:12 | - MaxSpeed = 230
24. June 2018 | 18:43:12 | - AdminImmunity = 1
24. June 2018 | 18:43:12 | - Advertisement = 1
24. June 2018 | 18:43:12 | - FreezeUpdate = 0
24. June 2018 | 18:43:12 | - SpawnTime = 10
24. June 2018 | 18:43:12 | - CheckpointTeleport = 1
24. June 2018 | 18:43:12 | - Airbreak = 1
24. June 2018 | 18:43:12 | - TankMode = 1
24. June 2018 | 18:43:12 | - WarnPlayers = 0
24. June 2018 | 18:43:12 | - SingleplayerCheats = 1
24. June 2018 | 18:43:12 | - MinFPS = 2
24. June 2018 | 18:43:12 | - DisableBadWeapons = 1
24. June 2018 | 18:43:12 | - CBug = 16
24. June 2018 | 18:43:12 | - AntiBugKill = 1
24. June 2018 | 18:43:12 | - NoReload = 20
24. June 2018 | 18:43:12 | - NoReloadForSawnOff = 4
24. June 2018 | 18:43:12 | - ActiveGMC = 2
24. June 2018 | 18:43:12 | - GMCBan = 0
24. June 2018 | 18:43:12 | - ServerSideHealth = 1
24. June 2018 | 18:43:12 | - CheckVMPos = 0
24. June 2018 | 18:43:12 | - QuickTurn = 1
24. June 2018 | 18:43:12 | 1 IP-bans have been loaded.
24. June 2018 | 18:43:12 | 0 temporary bans have been loaded.
24. June 2018 | 18:43:12 | 1 whitelist entries have been loaded.
24. June 2018 | 18:43:12 | 4 blacklist entries have been loaded.
24. June 2018 | 18:43:12 | 41 bad words have been loaded.
24. June 2018 | 18:43:12 | 4 forbidden weapons have been loaded.
24. June 2018 | 18:43:12 | JunkBuster has been configurated.
24. June 2018 | 18:43:12 | JunkBuster has successfully been loaded.
24. June 2018 | 18:48:22 | Current JunkBuster configuration:
24. June 2018 | 18:48:22 | - WeaponHack = 1
24. June 2018 | 18:48:22 | - MoneyHack = 1
24. June 2018 | 18:48:22 | - Jetpack = 1
24. June 2018 | 18:48:22 | - HealthHack = 1
24. June 2018 | 18:48:22 | - ArmourHack = 1
24. June 2018 | 18:48:22 | - DriveBy = 2
24. June 2018 | 18:48:22 | - Spam = 0
24. June 2018 | 18:48:22 | - CommandSpam = 0
24. June 2018 | 18:48:22 | - BadWords = 0
24. June 2018 | 18:48:22 | - CarJackHack = 1
24. June 2018 | 18:48:22 | - TeleportHack = 1
24. June 2018 | 18:48:22 | - MaxPing = 1000
24. June 2018 | 18:48:22 | - SpectateHack = 0
24. June 2018 | 18:48:22 | - Blacklist = 1
24. June 2018 | 18:48:22 | - IpBans = 1
24. June 2018 | 18:48:22 | - TempBans = 1
24. June 2018 | 18:48:22 | - SpawnKill = 3
24. June 2018 | 18:48:22 | - CapsLock = 1
